ID,Name,Label,Owner,Ownership,Proof,Shonai,Kodomo,Type,Address,Address2,Y,X,Url,Tel,Fax,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate,Remarks,Parking,Bus,Uniform,Smock,Lunch_u3,Lunch_o3,Trainingwear,Cost,Competition,OpeningDate,Playground,Playroom,Pool,Sakidori,Hoikuroom
1001,白旗保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区白旗2-6-11,,35.5783264,140.1408013,,043-261-2916,043-264-7271,160,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,2,,なし,なし,提供,持参,なし,,,19710519,Y,,Y,N,N
1003,長沼原保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区長沼原町242-2,,35.6701025,140.1243451,,043-259-2848,043-259-2848,70,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,10,,なし,なし,提供,持参,なし,,,19700305,Y,,Y,N,N
1004,新宿保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区新宿2-15-2,,35.6070787,140.1142262,,043-241-8574,043-241-8597,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,なし,,,19970331,Y,,Y,N,N
1005,轟保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区轟町1-12-13,,35.6247336,140.1101892,,043-251-5105,043-251-5105,160,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,2,,なし,なし,提供,持参,なし,,,19850330,Y,,Y,N,N
1007,幕張第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区幕張町5-417-260,,35.6550475,140.0533102,,043-273-8763,043-273-8763,85,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
1008,神明保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区神明町27-6,,35.6016075,140.116882,,043-242-7349,043-242-7349,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,なし,,,19710827,Y,,Y,N,N
1009,平山保育所,,千葉市,公立,,N,N,認可保育施設,千葉市緑区平山町138,,35.5736048,140.182255,,043-291-1376,043-292-7452,115,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,なし,,,19770331,Y,,Y,N,N
1010,野呂保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区野呂町622,,35.5838121,140.2295395,,043-228-0203,043-228-0203,50,2,5,7:00,18:00,N,,N,N,N,N,Y,20180101,2歳以上,6,,なし,なし,提供,持参,なし,,,19720831,Y,,Y,N,N
1011,亥鼻保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区亥鼻2-5-6,,35.6026995,140.1279533,,043-222-2082,043-222-2082,150,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,9,,なし,なし,提供,持参,なし,,,19690428,Y,,Y,N,N
1012,更科保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区更科町2073-27,,35.6203731,140.2277671,,043-239-0571,043-239-0572,40,0,5,7:00,18:00,N,,N,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19950323,Y,,Y,N,N
1013,長作保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区長作町739-3,,35.6746536,140.0722052,,043-259-6541,043-259-6541,60,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,なし,,,19820331,Y,,Y,N,N
1014,星久喜保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区星久喜町1063-6,,35.5981387,140.1468625,,043-261-0022,043-261-0022,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,7,,なし,なし,提供,持参,なし,,,19890331,Y,,Y,N,N
1015,千草台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区千草台1-1-27,,35.6356406,140.1183208,,043-251-6307,043-251-6307,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,7,,なし,なし,提供,持参,なし,,,19830331,Y,,Y,N,N
1016,都保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区都町2-26-5,,35.6121816,140.1418599,,043-231-4846,043-231-4846,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,4,,なし,なし,提供,持参,なし,,,19750729,Y,,Y,N,N
1017,生実保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区生実町1940-1,,35.5608003,140.1457454,,043-261-3719,043-261-3719,170,0,5,7:00,20:00,N,,Y,N,N,N,Y,20180101,,10,,なし,なし,提供,持参,なし,,,19940330,Y,,Y,N,N
1018,緑町保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区緑町2-22-1,,35.6232884,140.0954129,,043-241-0837,043-241-0837,80,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19670419,Y,,Y,N,N
1019,あやめ台第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区あやめ台1-15-101,,35.650117,140.116081,,043-252-5756,043-252-5756,100,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,2,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
